Year_of_Sampling	Date_of_Sampling 	sample-id	forward-absolute-filepath 	reverse-absolute-filepath 	Location	Region	Berry_Type	Year_of_Planting 	Rootstock	Genotype	Treatment	Replicate	Vine	Observed_Diverstiy	Chao1_Diversity	Shannon_Diversity	Evenness_Diversity	AMF_Colonization	Total_Hyphae	Total_Arbuscules	Total_Vesicles	Total_None	Average_Cluster_Count	Average_Cluster_Weight	Average_Harvest	Bulk_Density	pH	EC	Nitrate	Ammonium	Total_Inorganic_N	PMN	Phosphate	N_Leaf	P_Leaf	K_Leaf	S_Leaf	B_Leaf	Ca_Leaf	Mg_Leaf	Zn_Leaf	Mn_Leaf	Fe_Leaf	Cu_Leaf	POXC	MBC	Min_C	Clay_Content	Sand_Content	Normal_Precipitation_cm	Normal_Temperature_C	Vineyard_Age_yr	Soil_K	Soil_Na	Soil_Ca	Soil_Mg	CEC	Soil_Zn	Soil_Mn	Soil_Cu	Soil_Fe	total_anthocyanins	quercetin_aglycone 	quercetin_glycosides 	grape_reaction_product 	tannin	polymeric_anthocyaninstannin_index	polymeric_anthocyanins 	catechintannin_index	catechin	gallic_acid	caftaric_acid 	caffeic_acid 	astilbin																									
2022	26-Jul-22	AR052	/Users/amandarodriguez/Desktop/sequencing-data/AR052_S21_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR052_S21_L001_R2_001.fastq.gz	CCA-CHAR2	Central CA	CH (white)	1998	5C	CH x 5C	4	3	3	84	84	2.85	0.64	92	43	2	6	4	37.4	3.62	172.64	1.1	7.2	414.9	3.86	0.37	4.23	9.26	26.73	21000	3130	9800	4580	57.8	18200	3250	102.3	84.2	809	6.2	371.9	257.6	1.14	22.4	23.9	40.7	15.15	24	135	 96	2759.508	624.51	19.68	  4.0	 25.4	  2.1	  7.8	NA	2.2	< 0.2	0.7	14.8				4.5	< 0.2	38.8	< 0.2	0.3																									
2022	26-Jul-22	AR055	/Users/amandarodriguez/Desktop/sequencing-data/AR055_S22_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR055_S22_L001_R2_001.fastq.gz	CCA-PN2	Central CA	Pinot Noir (red)	2006	1616C	PN x 1616C	4	1	1	66	66	2.31	0.55	94	43	0	13	3	29.8	2.29	71.43	1.5	7.8	138.1	0.01	0.48	0.49	2.86	18.02	20700	1750	9100	1620	38.6	21700	4370	67.2	150	3978	9.4	220.82	487.92	0.48	12.93	56.07	30.6	14.66	16	117	 30	1667.328	227.205	10.62	  3.4	 15.5	  1.1	  8.4	588	33			203	0.034	7	0.478	97																													
2022	26-Jul-22	AR057	/Users/amandarodriguez/Desktop/sequencing-data/AR057_S23_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR057_S23_L001_R2_001.fastq.gz	CCA-PN2	Central CA	Pinot Noir (red)	2006	1616C	PN x 1616C	4	1	2	80	80	2.27	0.52	94	46	0	11	3	29.8	2.29	71.43	1.5	7.8	138.1	0.01	0.48	0.49	2.86	18.02	20700	1750	9100	1620	38.6	21700	4370	67.2	150	3978	9.4	220.82	487.92	0.48	12.93	56.07	30.6	14.66	16	117	 30	1667.328	227.205	10.62	  3.4	 15.5	  1.1	  8.4	588	33			203	0.034	7	0.478	97																													
2022	26-Jul-22	AR059	/Users/amandarodriguez/Desktop/sequencing-data/AR059_S24_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR059_S24_L001_R2_001.fastq.gz	CCA-PN2	Central CA	Pinot Noir (red)	2006	1616C	PN x 1616C	4	1	3	73	73	2.54	0.59	96	47	0	9	2	29.8	2.29	71.43	1.5	7.8	138.1	0.01	0.48	0.49	2.86	18.02	20700	1750	9100	1620	38.6	21700	4370	67.2	150	3978	9.4	220.82	487.92	0.48	12.93	56.07	30.6	14.66	16	117	 30	1667.328	227.205	10.62	  3.4	 15.5	  1.1	  8.4	588	33			203	0.034	7	0.478	97																													
2022	26-Jul-22	AR062	/Users/amandarodriguez/Desktop/sequencing-data/AR062_S25_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR062_S25_L001_R2_001.fastq.gz	CCA-PN2	Central CA	Pinot Noir (red)	2006	1616C	PN x 1616C	4	2	1	69	69	2.77	0.65	98	48	0	21	1	27.4	2.75	75.38	1.5	8	137.1	0.00	0.45	0.45	2.93	13.57	21700	1680	10900	1640	38.8	21200	4000	70.2	117.2	3038	8.5	261.87	235.48	0.61	12.93	56.07	30.6	14.66	16	112	 38	1791.576	243	11.38	  3.2	 14.8	  1.1	  8.5	558	38			176	0.034	6	0.699	123																													
2022	26-Jul-22	AR063	/Users/amandarodriguez/Desktop/sequencing-data/AR063_S26_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR063_S26_L001_R2_001.fastq.gz	CCA-PN2	Central CA	Pinot Noir (red)	2006	1616C	PN x 1616C	4	2	2	108	108	2.48	0.53	86	40	0	16	7	27.4	2.75	75.38	1.5	8	137.1	0.00	0.45	0.45	2.93	13.57	21700	1680	10900	1640	38.8	21200	4000	70.2	117.2	3038	8.5	261.87	235.48	0.61	12.93	56.07	30.6	14.66	16	112	 38	1791.576	243	11.38	  3.2	 14.8	  1.1	  8.5	558	38			176	0.034	6	0.699	123																													
2022	26-Jul-22	AR065	/Users/amandarodriguez/Desktop/sequencing-data/AR065_S27_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR065_S27_L001_R2_001.fastq.gz	CCA-PN2	Central CA	Pinot Noir (red)	2006	1616C	PN x 1616C	4	2	3	102	102	3.25	0.70	88	41	1	12	6	27.4	2.75	75.38	1.5	8	137.1	0.00	0.45	0.45	2.93	13.57	21700	1680	10900	1640	38.8	21200	4000	70.2	117.2	3038	8.5	261.87	235.48	0.61	12.93	56.07	30.6	14.66	16	112	 38	1791.576	243	11.38	  3.2	 14.8	  1.1	  8.5	558	38			176	0.034	6	0.699	123																													
2022	26-Jul-22	AR074	/Users/amandarodriguez/Desktop/sequencing-data/AR074_S28_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR074_S28_L001_R2_001.fastq.gz	CCA-CHAR1	Central CA	CH (white)	1993	5BB	CH x 5BB	4	1	1	65	65	2.40	0.57	96	46	0	10	2	34.6	3.91	145.69	1.5	7.3	74.2	0.65	3.23	3.88	1.17	16.33	22100	4020	11000	2470	96.4	28300	4580	78.1	170.4	1464	56.8	442.14	125.5	1.21	13.59	64.63	25.5	14.49	29	116	 54	1140.276	205.335	 7.91	  5.8	 14.9	  4.9	  4.7	NA	3.9	< 0.2	1.4	13.2				< 0.2	< 0.2	44.4	< 0.2	0.4																									
2022	26-Jul-22	AR076	/Users/amandarodriguez/Desktop/sequencing-data/AR076_S29_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR076_S29_L001_R2_001.fastq.gz	Hacienda 	Central CA	CH (white)	1993	5BB	CH x 5BB	4	1	2	65	65	2.94	0.70	84	40	0	15	8	34.6	3.91	145.69	1.5	7.3	74.2	0.65	3.23	3.88	1.17	16.33	22100	4020	11000	2470	96.4	28300	4580	78.1	170.4	1464	56.8	442.14	125.5	1.21	13.59	64.63	25.5	14.49	29	116	 54	1140.276	205.335	 7.91	  5.8	 14.9	  4.9	  4.7	NA	3.9	< 0.2	1.4	13.2				< 0.2	< 0.2	44.4	< 0.2	0.4																									
2022	26-Jul-22	AR077	/Users/amandarodriguez/Desktop/sequencing-data/AR077_S30_L001_R1_001.fastq.gz	/Users/amandarodriguez/Desktop/sequencing-data/AR077_S30_L001_R2_001.fastq.gz	Hacienda 	Central CA	CH (white)	1994	5BB	CH x 5BB	4	1	2	65	65	2.94	0.70	84	40	0	15	8	34.6	3.91	145.69	1.5	7.3	74.2	0.65	3.23	3.88	1.17	16.33	22100	4020	11000	2470	96.4	28300	4580	78.1	170.4	1464	56.8	442.14	125.5	1.21	13.59	64.63	25.5	14.49	28	116	 54	1140.276	205.335	 7.91	  5.8	 14.9	  4.9	  4.7	NA	3.9	< 0.2	1.4	13.2				< 0.2	< 0.2	44.4	< 0.2	0.4																									
